sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-RH,Airbeam2-001896108088,Humidity,percent
Timestamp,geo:lat,geo:long,Value
2018-08-09T16:18:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:19:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:20:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:21:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:22:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:23:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:24:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:25:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:26:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:27:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:28:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:29:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:30:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:31:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:32:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:33:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:34:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:35:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:36:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:37:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:38:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:39:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:40:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:41:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:42:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:43:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:44:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:45:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:46:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:47:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:48:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:49:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:50:21.000-0400,33.8736225,-84.24147266,3
2018-08-09T16:51:21.000-0400,33.8736225,-84.24147266,3
sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM2.5,Airbeam2-001896108088,Particulate Matter,microgram per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-08-09T15:13:13.000-0400,33.8736225,-84.24147266,9
2018-08-09T15:13:13.000-0400,33.8736225,-84.24147266,9
2018-08-09T15:14:13.000-0400,33.8736225,-84.24147266,9
2018-08-09T15:15:13.000-0400,33.8736225,-84.24147266,8
2018-08-09T15:16:13.000-0400,33.8736225,-84.24147266,7
